match_id,point_no,p1_sets,p1_games,p1_score,p1_points_won,ue_game_player1,npr_game_p1,bpr_game_p1,serve_no,ace_p1,p1_double_fault,speed_mph,ue_game_player1,p1_net_pt_won,p1_break_pt_won,point_victor,p1_winner,p1_distance_run,rally_count
2023-wimbledon-1301,22,0,1,2.0,12,0,0.0,0.0,1,1,0,127.0,0,0,0,1,0,42.166,9
2023-wimbledon-1301,23,0,1,3.0,13,0,0.0,0.0,2,1,0,103.0,0,0,0,1,0,3.782,1
2023-wimbledon-1301,24,0,2,0.0,13,1,0.0,0.0,2,0,0,107.0,1,0,0,2,0,12.601,3
2023-wimbledon-1301,25,0,2,0.0,13,1,0.0,0.0,1,0,0,111.0,1,0,0,2,0,14.925,3
2023-wimbledon-1301,26,0,2,0.0,13,1,0.0,0.0,1,0,0,125.0,1,0,0,2,0,0.903,1
2023-wimbledon-1301,27,0,2,0.0,13,1,0.0,0.0,1,0,0,126.0,1,0,0,2,0,20.027,3
2023-wimbledon-1301,28,0,2,0.0,14,0,0.0,0.0,1,0,0,116.0,0,0,0,1,1,15.352,5
2023-wimbledon-1301,29,0,2,1.0,15,0,0.0,0.0,1,0,0,129.0,0,0,0,1,0,4.285,1
2023-wimbledon-1301,30,0,2,2.0,16,0,1.0,0.0,1,0,0,110.0,0,1,0,1,0,11.974,3
2023-wimbledon-1301,31,0,2,3.0,16,1,1.0,0.0,2,0,0,113.0,1,0,0,2,0,5.609,2
2023-wimbledon-1301,32,0,2,3.0,16,1,1.0,0.0,2,0,0,104.0,1,0,0,2,0,8.518,2
2023-wimbledon-1301,33,0,2,3.0,16,2,1.0,0.0,1,0,0,111.0,2,0,0,2,0,8.859,2
2023-wimbledon-1301,34,0,2,3.0,17,2,1.0,0.0,2,0,0,97.0,2,1,0,1,0,30.782,5
2023-wimbledon-1301,35,0,2,4.0,18,2,1.0,0.0,1,0,0,114.0,2,1,0,1,0,6.824,1
2023-wimbledon-1301,36,0,3,0.0,18,0,0.0,0.0,1,0,0,110.0,0,0,0,2,0,7.809,1
2023-wimbledon-1301,37,0,3,0.0,19,0,0.0,0.0,2,0,0,90.0,0,0,0,1,0,29.094,6
2023-wimbledon-1301,38,0,3,1.0,19,0,0.0,0.0,1,0,0,125.0,0,0,0,2,0,6.815,1
2023-wimbledon-1301,39,0,3,1.0,19,0,0.0,0.0,1,0,0,127.0,0,0,0,2,0,2.678,1
2023-wimbledon-1301,40,0,3,1.0,19,0,0.0,0.0,2,0,0,111.0,0,0,0,2,0,5.043,1
2023-wimbledon-1301,41,0,3,0.0,20,0,0.0,0.0,2,0,0,107.0,0,0,0,1,1,34.233,9
2023-wimbledon-1301,42,0,3,1.0,21,0,0.0,0.0,1,0,0,120.0,0,0,0,1,0,9.872,3
2023-wimbledon-1301,43,0,3,2.0,22,0,0.0,0.0,1,0,0,115.0,0,0,0,1,1,6.277,3
2023-wimbledon-1301,44,0,3,3.0,22,0,0.0,0.0,2,0,0,104.0,0,0,0,2,0,18.076,6
2023-wimbledon-1301,45,0,3,3.0,23,0,0.0,0.0,2,0,0,101.0,0,0,0,1,0,31.727,5
2023-wimbledon-1301,46,0,4,0.0,23,0,0.0,0.0,1,0,0,132.0,0,0,0,2,0,5.879,1
2023-wimbledon-1301,47,0,4,0.0,24,0,0.0,0.0,2,0,0,,0,0,0,1,0,0.929,0
2023-wimbledon-1301,48,0,4,1.0,24,0,0.0,0.0,1,0,0,130.0,0,0,0,2,0,1.427,1
2023-wimbledon-1301,49,0,4,1.0,25,0,0.0,0.0,2,0,0,101.0,0,0,0,1,0,17.838,6
2023-wimbledon-1301,50,0,4,2.0,26,0,0.0,0.0,2,0,0,106.0,0,0,0,1,1,61.781,16
2023-wimbledon-1301,51,0,4,3.0,27,0,0.0,1.0,2,0,0,106.0,0,0,1,1,0,29.677,6
2023-wimbledon-1301,52,0,5,0.0,28,0,0.0,0.0,1,0,0,115.0,0,0,0,1,0,3.341,1
2023-wimbledon-1301,53,0,5,1.0,28,0,0.0,0.0,2,0,0,100.0,0,0,0,2,0,5.528,2
2023-wimbledon-1301,54,0,5,1.0,29,0,0.0,0.0,1,0,0,122.0,0,0,0,1,0,4.227,1
2023-wimbledon-1301,55,0,5,2.0,29,0,0.0,0.0,1,0,0,115.0,0,0,0,2,0,11.654,4
2023-wimbledon-1301,56,0,5,2.0,30,0,0.5,0.0,1,0,0,129.0,0,1,0,1,0,11.34,3
2023-wimbledon-1301,57,0,5,3.0,30,1,0.3333333333333333,0.0,1,0,0,113.0,1,0,0,2,0,9.299,2
2023-wimbledon-1301,58,0,5,3.0,31,1,0.3333333333333333,0.0,1,0,0,114.0,1,0,0,1,0,31.428,7
2023-wimbledon-1301,59,0,5,4.0,31,1,0.3333333333333333,0.0,2,0,0,88.0,1,0,0,2,0,16.514,4
2023-wimbledon-1301,60,0,5,3.0,31,1,0.3333333333333333,0.0,1,0,0,123.0,1,0,0,2,0,21.882,6
2023-wimbledon-1301,61,0,5,3.0,32,1,0.3333333333333333,0.0,1,0,0,121.0,1,0,0,1,1,18.705,7
2023-wimbledon-1301,62,0,5,3.0,33,1,0.3333333333333333,0.0,1,0,0,130.0,1,0,0,1,0,2.109,1
2023-wimbledon-1301,63,0,5,4.0,34,1,0.5,0.0,1,0,0,132.0,1,1,0,1,0,16.592,3
2023-wimbledon-1301,64,1,0,0.0,34,0,0.0,0.0,1,0,0,123.0,0,0,0,2,0,1.621,1
2023-wimbledon-1301,65,1,0,0.0,34,0,0.0,0.0,1,0,0,117.0,0,0,0,2,0,0.896,1
2023-wimbledon-1301,66,1,0,0.0,34,0,0.0,0.0,1,0,0,123.0,0,0,0,2,0,3.619,1
2023-wimbledon-1301,67,1,0,0.0,34,0,0.0,0.0,1,0,0,122.0,0,0,0,2,0,9.33,1
2023-wimbledon-1301,68,1,0,0.0,35,0,0.0,0.0,1,1,0,127.0,0,0,0,1,1,0.827,1
2023-wimbledon-1301,69,1,0,1.0,36,0,0.0,0.0,2,1,0,102.0,0,0,0,1,0,2.754,1
2023-wimbledon-1301,70,1,0,2.0,36,0,0.0,0.0,2,1,0,111.0,0,0,0,2,0,3.314,2
2023-wimbledon-1301,71,1,0,2.0,36,1,0.0,0.0,1,1,0,118.0,1,0,0,2,0,35.48,12
2023-wimbledon-1301,72,1,0,2.0,37,1,0.0,0.0,1,2,0,126.0,1,0,0,1,1,0.824,1
2023-wimbledon-1301,73,1,0,3.0,37,2,0.0,0.0,2,2,0,97.0,2,0,0,2,0,11.674,2
2023-wimbledon-1301,74,1,0,3.0,37,3,0.0,0.0,2,2,0,105.0,3,0,0,2,0,7.494,2
2023-wimbledon-1301,75,1,0,3.0,37,3,0.0,0.0,1,2,0,129.0,3,0,0,2,0,8.235,2
2023-wimbledon-1301,76,1,0,0.0,37,0,0.0,0.0,1,0,0,126.0,0,0,0,2,0,8.125,1
2023-wimbledon-1301,77,1,0,0.0,37,0,0.0,0.0,1,0,0,128.0,0,0,0,2,0,9.712,1
2023-wimbledon-1301,78,1,0,0.0,37,0,0.0,0.0,1,0,0,108.0,0,0,0,2,0,10.788,3
2023-wimbledon-1301,79,1,0,0.0,37,1,0.0,0.0,2,0,0,101.0,1,0,0,2,0,33.044,7
2023-wimbledon-1301,80,1,0,0.0,37,0,0.0,0.0,2,0,0,106.0,0,0,0,2,0,54.924,10
2023-wimbledon-1301,81,1,0,0.0,38,0,0.0,0.0,1,0,0,111.0,0,0,0,1,0,6.013,1
2023-wimbledon-1301,82,1,0,1.0,39,0,0.0,0.0,1,1,0,110.0,0,0,0,1,1,0.761,1
2023-wimbledon-1301,83,1,0,2.0,39,0,0.0,0.0,1,1,0,119.0,0,0,0,2,0,57.844,8
2023-wimbledon-1301,84,1,0,2.0,39,0,0.0,0.0,2,1,0,95.0,0,0,0,2,0,12.977,4
2023-wimbledon-1301,85,1,0,2.0,40,0,0.0,0.0,2,1,0,95.0,0,0,0,1,0,9.419,3
2023-wimbledon-1301,86,1,0,3.0,41,0,0.0,0.0,1,1,0,102.0,0,0,0,1,0,14.306,3
2023-wimbledon-1301,87,1,0,4.0,42,0,0.0,0.0,2,1,0,120.0,0,0,0,1,0,46.74,11
2023-wimbledon-1301,88,1,1,0.0,42,0,0.0,0.0,1,0,0,113.0,0,0,0,2,0,31.199,5
2023-wimbledon-1301,89,1,1,0.0,42,0,0.0,0.0,1,0,0,128.0,0,0,0,2,0,11.273,1
2023-wimbledon-1301,90,1,1,0.0,43,0,0.0,0.0,2,0,0,111.0,0,0,0,1,1,22.467,6
2023-wimbledon-1301,91,1,1,1.0,44,0,0.0,0.0,1,0,0,131.0,0,0,0,1,0,36.689,8
2023-wimbledon-1301,92,1,1,2.0,45,0,0.0,0.0,1,0,0,134.0,0,0,0,1,0,39.829,10
2023-wimbledon-1301,93,1,1,3.0,45,0,0.0,0.0,1,0,0,123.0,0,0,0,2,0,30.783,5
2023-wimbledon-1301,94,1,1,3.0,46,0,0.0,0.0,2,0,0,107.0,0,0,0,1,0,39.903,10
2023-wimbledon-1301,95,1,1,4.0,46,0,0.0,0.0,1,0,0,118.0,0,0,0,2,0,26.961,3
2023-wimbledon-1301,96,1,1,3.0,46,0,0.0,0.0,1,0,0,131.0,0,0,0,2,0,6.211,1
2023-wimbledon-1301,97,1,1,3.0,46,0,0.0,0.0,1,0,0,129.0,0,0,0,2,0,20.629,5
2023-wimbledon-1301,98,1,1,0.0,46,0,0.0,0.0,2,0,0,115.0,0,0,0,2,0,6.367,2
2023-wimbledon-1301,99,1,1,0.0,47,0,0.0,0.0,1,0,0,109.0,0,0,0,1,0,4.716,1
2023-wimbledon-1301,100,1,1,1.0,47,1,0.0,0.0,2,0,0,91.0,1,0,0,2,0,5.607,2
2023-wimbledon-1301,101,1,1,1.0,48,1,0.0,0.0,1,0,0,126.0,1,0,0,1,0,2.576,1
2023-wimbledon-1301,102,1,1,2.0,49,1,0.0,0.0,1,0,0,108.0,1,0,0,1,0,12.352,1
2023-wimbledon-1301,103,1,1,3.0,49,1,0.0,0.0,1,0,0,97.0,1,0,0,2,0,29.38,10
2023-wimbledon-1301,104,1,1,3.0,50,1,1.0,0.0,1,0,0,127.0,1,1,0,1,1,7.675,3
2023-wimbledon-1301,105,1,1,4.0,51,1,1.0,0.0,2,0,0,121.0,1,0,0,1,1,0.75,1
2023-wimbledon-1301,106,1,2,0.0,52,0,0.0,0.0,1,0,0,118.0,0,0,0,1,0,17.854,4
2023-wimbledon-1301,107,1,2,1.0,52,1,0.0,0.0,1,0,0,128.0,1,0,0,2,0,17.377,3
2023-wimbledon-1301,108,1,2,1.0,52,2,0.0,0.0,1,0,0,132.0,2,0,0,2,0,14.452,3
2023-wimbledon-1301,109,1,2,1.0,52,2,0.0,0.0,1,0,0,125.0,2,0,0,2,0,13.127,3
2023-wimbledon-1301,110,1,2,1.0,53,2,0.0,0.0,1,0,0,108.0,2,0,0,1,0,40.298,2
2023-wimbledon-1301,111,1,2,2.0,54,2,0.0,0.0,2,0,0,98.0,2,0,0,1,0,50.075,8
2023-wimbledon-1301,112,1,2,3.0,55,2,0.0,0.0,2,0,0,115.0,2,0,0,1,0,33.142,8
2023-wimbledon-1301,113,1,2,4.0,55,2,0.0,0.0,1,0,0,120.0,2,0,0,2,0,11.436,1
2023-wimbledon-1301,114,1,2,3.0,55,2,0.0,0.0,1,0,0,130.0,2,0,0,2,0,32.537,7
2023-wimbledon-1301,115,1,2,3.0,56,2,0.0,0.0,1,0,0,124.0,2,0,0,1,0,15.161,4
2023-wimbledon-1301,116,1,2,3.0,57,2,0.0,0.0,2,0,0,113.0,2,0,0,1,0,26.033,6
2023-wimbledon-1301,117,1,2,4.0,58,2,0.0,0.5,1,0,0,130.0,2,0,1,1,0,9.834,2
2023-wimbledon-1301,118,1,3,0.0,59,0,0.0,0.0,1,0,0,109.0,0,0,0,1,0,2.388,1
2023-wimbledon-1301,119,1,3,1.0,60,0,0.0,0.0,2,0,0,91.0,0,0,0,1,0,3.157,1
2023-wimbledon-1301,120,1,3,2.0,61,0,0.0,0.0,2,0,0,100.0,0,0,0,1,0,9.182,3
2023-wimbledon-1301,121,1,3,3.0,62,0,0.0,0.0,1,0,0,113.0,0,0,0,1,1,9.346,3
2023-wimbledon-1301,122,1,4,0.0,63,0,0.0,0.0,1,0,0,130.0,0,0,0,1,0,8.636,2
2023-wimbledon-1301,123,1,4,1.0,63,0,0.0,0.0,1,0,0,125.0,0,0,0,2,0,1.547,1
2023-wimbledon-1301,124,1,4,1.0,63,0,0.0,0.0,2,0,0,106.0,0,0,0,2,0,4.077,1
2023-wimbledon-1301,125,1,4,1.0,63,0,0.0,0.0,1,0,0,123.0,0,0,0,2,0,7.731,1
2023-wimbledon-1301,126,1,4,1.0,63,0,0.0,0.0,1,0,0,126.0,0,0,0,2,0,30.357,3
2023-wimbledon-1301,127,1,4,0.0,64,0,0.0,0.0,1,0,0,127.0,0,0,0,1,0,5.517,1
2023-wimbledon-1301,128,1,4,1.0,64,0,0.0,0.0,2,0,0,119.0,0,0,0,2,0,18.229,6
2023-wimbledon-1301,129,1,4,1.0,65,0,0.0,0.0,2,0,0,91.0,0,0,0,1,0,2.83,1
2023-wimbledon-1301,130,1,4,2.0,66,0,0.0,0.0,1,0,0,115.0,0,0,0,1,0,32.24,7
2023-wimbledon-1301,131,1,4,3.0,66,0,0.0,0.0,1,0,0,114.0,0,0,0,2,0,9.467,2
2023-wimbledon-1301,132,1,4,3.0,67,0,0.0,0.0,1,0,0,119.0,0,0,0,1,0,18.941,5
2023-wimbledon-1301,133,1,5,0.0,67,0,0.0,0.0,1,0,0,111.0,0,0,0,2,0,1.087,1
2023-wimbledon-1301,134,1,5,0.0,67,0,0.0,0.0,1,0,0,132.0,0,0,0,2,0,7.276,1
2023-wimbledon-1301,135,1,5,0.0,68,0,0.0,0.0,2,0,0,105.0,0,0,0,1,0,10.946,2
2023-wimbledon-1301,136,1,5,1.0,68,0,0.0,0.0,1,0,0,132.0,0,0,0,2,0,28.855,3
2023-wimbledon-1301,137,1,5,1.0,68,0,0.0,0.0,2,0,0,100.0,0,0,0,2,0,4.713,1
2023-wimbledon-1301,138,1,5,0.0,69,0,0.0,0.0,1,1,0,129.0,0,0,0,1,1,7.323,1
2023-wimbledon-1301,139,1,5,1.0,70,0,0.0,0.0,2,1,0,98.0,0,0,0,1,0,1.865,1
2023-wimbledon-1301,140,1,5,2.0,71,0,0.0,0.0,2,1,0,122.0,0,0,0,1,0,1.945,1
2023-wimbledon-1301,141,1,5,3.0,72,0,0.0,0.0,1,1,0,129.0,0,0,0,1,0,18.845,3
2023-wimbledon-1301,142,1,6,0.0,72,0,0.0,0.0,1,0,0,128.0,0,0,0,2,0,68.799,15
2023-wimbledon-1301,143,1,6,0.0,73,0,0.0,0.0,1,0,0,127.0,0,0,0,1,0,5.871,1
2023-wimbledon-1301,144,1,6,,74,0,0.0,0.0,2,0,0,100.0,0,0,0,1,0,51.185,13
2023-wimbledon-1301,145,1,6,,74,0,0.0,0.0,1,0,0,128.0,0,0,0,2,0,9.273,1
2023-wimbledon-1301,146,1,6,,74,0,0.0,0.0,1,0,0,130.0,0,0,0,2,0,4.948,1
2023-wimbledon-1301,147,1,6,,75,0,1.0,0.0,1,0,0,119.0,0,1,0,1,0,24.001,5
2023-wimbledon-1301,148,1,6,,76,0,1.0,0.0,1,0,0,111.0,0,0,0,1,0,4.91,1
2023-wimbledon-1301,149,1,6,,76,0,1.0,0.0,1,0,0,127.0,0,0,0,2,0,10.121,1
2023-wimbledon-1301,150,1,6,,76,1,1.0,0.0,2,0,0,104.0,1,0,0,2,0,12.105,3
2023-wimbledon-1301,151,1,6,,77,1,1.0,0.0,1,0,0,130.0,1,0,0,1,1,19.083,5
2023-wimbledon-1301,152,1,6,,78,1,1.0,0.0,1,0,0,129.0,1,1,0,1,1,4.877,3
2023-wimbledon-1301,153,1,6,,78,1,1.0,0.0,1,0,0,129.0,1,0,0,2,0,20.076,3
2023-wimbledon-1301,154,1,6,,78,1,1.0,0.0,1,0,0,128.0,1,0,0,2,0,5.514,1
2023-wimbledon-1301,155,1,6,,78,1,1.0,0.0,1,0,0,122.0,1,0,0,2,0,28.777,4
2023-wimbledon-1301,156,1,0,0.0,79,0,0.0,0.0,2,0,0,96.0,0,0,0,1,0,26.561,7
2023-wimbledon-1301,157,1,0,1.0,79,0,0.0,0.0,2,0,0,96.0,0,0,0,2,0,17.347,4
2023-wimbledon-1301,158,1,0,1.0,80,0,0.0,0.0,2,0,0,126.0,0,0,0,1,0,3.959,1
2023-wimbledon-1301,159,1,0,2.0,80,1,0.0,0.0,2,0,1,,1,0,0,2,0,5.45,0
2023-wimbledon-1301,160,1,0,2.0,81,1,0.0,0.0,1,0,1,113.0,1,0,0,1,0,4.131,1
2023-wimbledon-1301,161,1,0,3.0,82,1,0.0,0.0,1,0,1,113.0,1,0,0,1,0,6.968,1
2023-wimbledon-1301,162,1,1,0.0,83,0,1.0,0.0,1,0,0,126.0,0,1,0,1,0,33.675,8
2023-wimbledon-1301,163,1,1,1.0,83,0,1.0,0.0,1,0,0,130.0,0,0,0,2,0,9.172,1
2023-wimbledon-1301,164,1,1,1.0,83,0,1.0,0.0,2,0,0,109.0,0,0,0,2,0,52.816,3
2023-wimbledon-1301,165,1,1,1.0,84,0,1.0,0.0,1,0,0,128.0,0,0,0,1,0,9.47,2
2023-wimbledon-1301,166,1,1,2.0,85,0,1.0,0.0,1,0,0,130.0,0,0,0,1,0,17.922,4
2023-wimbledon-1301,167,1,1,3.0,85,0,1.0,0.0,1,0,0,127.0,0,0,0,2,0,11.452,3
2023-wimbledon-1301,168,1,1,3.0,86,0,1.0,0.0,2,0,0,114.0,0,0,0,1,0,8.123,2
2023-wimbledon-1301,169,1,1,4.0,86,0,1.0,0.0,1,0,0,130.0,0,0,0,2,0,27.335,1
2023-wimbledon-1301,170,1,1,3.0,86,0,1.0,0.0,1,0,0,118.0,0,0,0,2,0,10.23,3
2023-wimbledon-1301,171,1,1,3.0,87,0,1.0,0.0,2,0,0,,0,0,0,1,0,11.861,0
2023-wimbledon-1301,172,1,1,3.0,87,0,1.0,0.0,1,0,0,129.0,0,0,0,2,0,6.797,1
2023-wimbledon-1301,173,1,1,3.0,87,0,1.0,0.0,1,0,0,128.0,0,0,0,2,0,16.698,5
2023-wimbledon-1301,174,1,1,0.0,88,0,0.0,0.0,2,0,0,92.0,0,0,0,1,1,22.725,7
2023-wimbledon-1301,175,1,1,1.0,89,0,0.0,0.0,1,0,0,114.0,0,0,0,1,1,10.8,3
2023-wimbledon-1301,176,1,1,2.0,89,0,0.0,0.0,1,0,0,127.0,0,0,0,2,0,28.877,6
2023-wimbledon-1301,177,1,1,2.0,89,1,0.0,0.0,2,0,0,95.0,1,0,0,2,0,16.725,4
2023-wimbledon-1301,178,1,1,2.0,90,1,0.0,0.0,2,0,0,104.0,1,0,0,1,0,11.081,3
2023-wimbledon-1301,179,1,1,3.0,91,1,0.0,0.0,1,1,0,122.0,1,0,0,1,1,7.905,1
2023-wimbledon-1301,180,1,2,0.0,92,0,0.0,0.0,2,0,0,108.0,0,0,0,1,0,9.981,2
2023-wimbledon-1301,181,1,2,1.0,93,0,0.0,0.0,1,0,0,129.0,0,0,0,1,1,27.698,6
2023-wimbledon-1301,182,1,2,2.0,93,1,0.0,0.0,2,0,0,106.0,1,0,0,2,0,20.258,3
2023-wimbledon-1301,183,1,2,2.0,94,1,0.0,0.0,1,0,0,127.0,1,0,0,1,0,12.132,2
2023-wimbledon-1301,184,1,2,3.0,95,1,0.0,1.0,1,0,0,133.0,1,0,1,1,0,25.215,6
2023-wimbledon-1301,185,1,3,0.0,96,0,0.0,0.0,1,1,0,130.0,0,0,0,1,1,0.585,1
2023-wimbledon-1301,186,1,3,1.0,97,0,0.0,0.0,1,1,0,127.0,0,0,0,1,1,1.91,1
2023-wimbledon-1301,187,1,3,2.0,98,0,0.0,0.0,2,1,0,103.0,0,0,0,1,0,26.138,9
2023-wimbledon-1301,188,1,3,3.0,98,1,0.0,0.0,2,1,1,,1,0,0,2,0,1.076,0
2023-wimbledon-1301,189,1,3,3.0,99,1,0.0,0.0,1,2,1,107.0,1,0,0,1,1,0.778,1
2023-wimbledon-1301,190,1,4,0.0,100,0,0.0,0.0,2,0,0,110.0,0,0,0,1,0,17.965,4
2023-wimbledon-1301,191,1,4,1.0,100,0,0.0,0.0,1,0,0,121.0,0,0,0,2,0,1.075,1
2023-wimbledon-1301,192,1,4,1.0,100,0,0.0,0.0,2,0,0,107.0,0,0,0,2,0,4.072,1
2023-wimbledon-1301,193,1,4,1.0,101,0,1.0,0.0,2,0,0,105.0,0,1,0,1,0,15.125,2
2023-wimbledon-1301,194,1,4,2.0,101,0,1.0,0.0,2,0,0,111.0,0,0,0,2,0,8.346,3
2023-wimbledon-1301,195,1,4,2.0,101,0,1.0,0.0,1,0,0,132.0,0,0,0,2,0,11.882,1
2023-wimbledon-1301,196,1,4,0.0,102,0,0.0,0.0,1,0,0,107.0,0,0,0,1,1,3.652,1
2023-wimbledon-1301,197,1,4,1.0,103,0,0.0,0.0,1,0,0,117.0,0,0,0,1,0,13.487,3
2023-wimbledon-1301,198,1,4,2.0,104,0,0.0,0.0,2,0,0,90.0,0,0,0,1,0,14.958,3
2023-wimbledon-1301,199,1,4,3.0,105,0,0.0,0.0,1,1,0,109.0,0,0,0,1,1,0.778,1
2023-wimbledon-1301,200,1,5,0.0,105,0,0.0,0.0,1,0,0,126.0,0,0,0,2,0,6.718,1
2023-wimbledon-1301,201,1,5,0.0,106,0,0.0,0.0,1,0,0,116.0,0,0,0,1,0,7.631,2
2023-wimbledon-1301,202,1,5,1.0,106,0,0.0,0.0,1,0,0,116.0,0,0,0,2,0,70.044,9
2023-wimbledon-1301,203,1,5,1.0,107,0,0.0,0.0,1,0,0,127.0,0,0,0,1,1,42.94,10
2023-wimbledon-1301,204,1,5,2.0,108,0,0.0,0.0,1,0,0,114.0,0,0,0,1,0,21.835,4
2023-wimbledon-1301,205,1,5,3.0,108,0,0.0,0.0,1,0,0,127.0,0,0,0,2,0,0.729,1
2023-wimbledon-1301,206,1,5,3.0,108,0,0.0,0.0,1,0,0,114.0,0,0,0,2,0,1.617,1
2023-wimbledon-1301,207,1,5,3.0,108,0,0.0,0.0,1,0,0,124.0,0,0,0,2,0,1.136,1
2023-wimbledon-1301,208,1,5,0.0,109,0,0.0,0.0,2,0,0,97.0,0,0,0,1,0,7.308,1
2023-wimbledon-1301,209,1,5,1.0,110,0,1.0,0.0,1,0,0,109.0,0,1,0,1,1,12.63,3
2023-wimbledon-1301,210,1,5,2.0,111,0,1.0,0.0,2,0,0,95.0,0,0,0,1,0,4.239,1
2023-wimbledon-1301,211,1,5,3.0,111,1,0.5,0.0,1,0,0,112.0,1,0,0,2,0,8.358,2
2023-wimbledon-1301,212,1,5,3.0,112,1,0.5,0.0,1,0,0,128.0,1,0,0,1,0,11.526,1
2023-wimbledon-1301,213,2,0,0.0,113,0,0.0,0.0,2,0,0,110.0,0,0,0,1,0,32.923,4
2023-wimbledon-1301,214,2,0,1.0,113,0,0.0,0.0,2,0,0,98.0,0,0,0,2,0,16.843,3
2023-wimbledon-1301,215,2,0,1.0,113,0,0.0,0.0,1,0,0,109.0,0,0,0,2,0,8.902,1
2023-wimbledon-1301,216,2,0,1.0,113,0,0.0,0.0,1,0,0,128.0,0,0,0,2,0,7.188,1
2023-wimbledon-1301,217,2,0,1.0,113,0,0.0,0.0,1,0,0,129.0,0,0,0,2,0,1.203,1
2023-wimbledon-1301,218,2,0,0.0,114,0,0.0,0.0,1,0,0,121.0,0,0,0,1,0,25.195,7
2023-wimbledon-1301,219,2,0,1.0,114,1,0.0,0.0,2,0,1,,1,0,0,2,0,1.544,0
2023-wimbledon-1301,220,2,0,1.0,114,2,0.0,0.0,1,0,1,126.0,2,0,0,2,0,12.946,2
2023-wimbledon-1301,221,2,0,1.0,115,2,0.0,0.0,1,0,1,117.0,2,0,0,1,0,4.202,1
2023-wimbledon-1301,222,2,0,2.0,115,3,0.0,0.0,2,0,2,,3,0,0,2,0,5.061,0
2023-wimbledon-1301,223,2,0,2.0,115,3,0.0,0.0,2,0,2,93.0,3,0,0,2,0,40.04,10
2023-wimbledon-1301,224,2,0,0.0,115,0,0.0,0.0,1,0,0,124.0,0,0,0,2,0,15.329,3
2023-wimbledon-1301,225,2,0,0.0,116,0,0.0,0.0,2,0,0,113.0,0,0,0,1,0,6.648,2
2023-wimbledon-1301,226,2,0,1.0,116,0,0.0,0.0,1,0,0,112.0,0,0,0,2,0,18.285,3
2023-wimbledon-1301,227,2,0,1.0,116,0,0.0,0.0,1,0,0,129.0,0,0,0,2,0,15.033,3
2023-wimbledon-1301,228,2,0,1.0,117,0,1.0,0.0,1,0,0,113.0,0,1,0,1,1,51.154,8
2023-wimbledon-1301,229,2,0,2.0,118,0,1.0,0.0,2,0,0,108.0,0,0,0,1,0,37.839,10
